rank,score,title,namespace,assembly,url
1,294,FilteredElementCollector Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/263cf06b-98be-6f91-c4da-fb47d01688f3.htm
2,287,Transaction Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/308ebf8d-d96d-4643-cd1d-34fffcea53fd.htm
3,286,ElementTransformUtils Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/82e737d5-fda4-bc10-6099-88999cd51300.htm
4,283,Element Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/eb16114f-69ea-f4de-0d0d-f7388b105a16.htm
5,283,TransactionGroup Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/f1113d30-4c36-7844-1537-aad7f095cea0.htm
6,283,View Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/fb92a4e7-f3a7-ef14-e631-342179b18de9.htm
7,282,Parameter Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/333ff41b-e6a7-d959-60bf-c3bfae495581.htm
8,281,FamilyInstance Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/0d2231f8-91e6-794f-92ae-16aad8014b27.htm
9,281,View3D Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/d795a238-fc24-1875-e64f-a2bef56ae949.htm
10,280,JoinGeometryUtils Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/c45b6484-3efd-1d81-0b47-ba678857fff1.htm
11,278,ViewSheet Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/af2ee879-173d-df3a-9793-8d5750a17b49.htm
12,276,ViewPlan Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/0520580a-74ec-ed8c-35ea-5274c42276a3.htm
13,276,ViewSection Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/fcc75682-bd99-a97d-5a4d-0f8eb9e92ab5.htm
14,276,Document Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/db03274b-a107-aa32-9034-f3e0df4bb1ec.htm
15,275,UnitUtils Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/128dd879-fea8-5d7b-1eb2-d64f87753990.htm
16,273,WorksharingUtils Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/ae7857a0-4e9b-f9c1-84c7-8b250af68068.htm
17,272,Family Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/f51d019d-6ff3-692b-d1d2-b497cab564de.htm
18,271,FamilySymbol Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/a1acaed0-6a62-4c1d-94f5-4e27ce0923d3.htm
19,267,RevitLinkType Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/2204a5ab-6476-df41-116d-23dbe3cb5407.htm
20,266,RevitLinkInstance Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/a3a27c39-75bf-67d1-ae78-4cadd49a9c8e.htm
21,247,UIDocument Class,Autodesk.Revit.UI,RevitAPIUI,https://www.revitapidocs.com/2024/295b48c8-0571-ad5c-eead-baea84a6787c.htm
22,246,ExternalEvent Class,Autodesk.Revit.UI,RevitAPIUI,https://www.revitapidocs.com/2024/05089477-4612-35b2-81a2-89c4f44370ea.htm
23,236,IExternalEventHandler Interface,Autodesk.Revit.UI,RevitAPIUI,https://www.revitapidocs.com/2024/f265a2c9-8540-9c97-9b37-4f7442becac2.htm
24,236,UIApplication Class,Autodesk.Revit.UI,RevitAPIUI,https://www.revitapidocs.com/2024/51ca80e2-3e5f-7dd2-9d95-f210950c72ae.htm
25,226,ParameterFilterElement Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/b231dc85-516a-5e75-c634-c6cd81b43fc5.htm
26,224,ElementParameterFilter Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/b0b40351-690c-eb5d-30c2-d4447a42fda1.htm
27,219,ElementOwnerViewFilter Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/cfaecf4c-b6b9-1481-de4f-e8d74e743911.htm
28,216,ParameterElement Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/2ad60b36-07d6-6aed-62c7-89f388f05ffb.htm
29,215,ElementIdParameterValue Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/7de25c99-4f85-ef1d-7f64-74092f963c98.htm
30,215,SharedParameterElement Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/d8a0f2ae-7e10-39bd-e362-3756cbae661b.htm
31,212,ElementIntersectsSolidFilter Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/19276b94-fa39-64bb-bfb8-c16967c83485.htm
32,212,Document Class,Autodesk.Revit.Creation,RevitAPI,https://www.revitapidocs.com/2024/ab1718f9-45fb-b3d3-827e-32ff81cf929c.htm
33,211,ElementLevelFilter Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/844e4928-e11a-563f-b1e4-d4d16b8bd76b.htm
